'BAU', 'BAU*', 'BAU...', 'Powiat augustowski', 'Województwo podlaskie');
'BBI', 'BBI*', 'BBI...', 'Powiat bielski', 'Województwo podlaskie');
'BGR', 'BGR*', 'BGR...', 'Powiat grajewski', 'Województwo podlaskie');
'BHA', 'BHA*', 'BHA...', 'Powiat hajnowski', 'Województwo podlaskie');
'BI', 'BI[0-9]*', 'BI...', 'Białystok', 'Województwo podlaskie');
'BIA', 'BIA*', 'BIA...', 'Powiat białostocki', 'Województwo podlaskie');
'BKL', 'BKL*', 'BKL...', 'Powiat kolneński', 'Województwo podlaskie');
'BL', 'BL[0-9]*', 'BL...', 'Łomża', 'Województwo podlaskie');
'BLM', 'BLM*', 'BLM...', 'Powiat łomżyński', 'Województwo podlaskie');
'BMN', 'BMN*', 'BMN...', 'Powiat moniecki', 'Województwo podlaskie');
'BS', 'BS[0-9]*', 'BS...', 'Suwałki', 'Województwo podlaskie');
'BSE', 'BSE*', 'BSE...', 'Powiat sejneński', 'Województwo podlaskie');
'BSI', 'BSI*', 'BSI...', 'Powiat siemiatycki', 'Województwo podlaskie');
'BSK', 'BSK*', 'BSK...', 'Powiat sokólski', 'Województwo podlaskie');
'BSU', 'BSU*', 'BSU...', 'Powiat suwalski', 'Województwo podlaskie');
'BWM', 'BWM*', 'BWM...', 'Powiat wysokomazowiecki', 'Województwo podlaskie');
'BZA', 'BZA*', 'BZA...', 'Powiat zambrowski', 'Województwo podlaskie');
'CAL', 'CAL*', 'CAL...', 'Powiat aleksandrowski', 'Województwo kujawsko-pomorskie');
'CB', 'CB[0-9]*', 'CB...', 'Bydgoszcz', 'Województwo kujawsko-pomorskie');
'CBR', 'CBR*', 'CBR...', 'Powiat brodnicki', 'Województwo kujawsko-pomorskie');
'CBY', 'CBY*', 'CBY...', 'Powiat bydgoski', 'Województwo kujawsko-pomorskie');
'CCH', 'CCH*', 'CCH...', 'Powiat chełmiński', 'Województwo kujawsko-pomorskie');
'CG', 'CG[0-9]*', 'CG...', 'Grudziądz', 'Województwo kujawsko-pomorskie');
'CGD', 'CGD*', 'CGD...', 'Powiat golubsko-dobrzyński', 'Województwo kujawsko-pomorskie');
'CGR', 'CGR*', 'CGR...', 'Powiat grudziądzki', 'Województwo kujawsko-pomorskie');
'CIN', 'CIN*', 'CIN...', 'Powiat inowrocławski', 'Województwo kujawsko-pomorskie');
'CLI', 'CLI*', 'CLI...', 'Powiat lipnowski', 'Województwo kujawsko-pomorskie');
'CMG', 'CMG*', 'CMG...', 'Powiat mogileński', 'Województwo kujawsko-pomorskie');
'CNA', 'CNA*', 'CNA...', 'Powiat nakielski', 'Województwo kujawsko-pomorskie');
'CRA', 'CRA*', 'CRA...', 'Powiat radziejowski', 'Województwo kujawsko-pomorskie');
'CRY', 'CRY*', 'CRY...', 'Powiat rypiński', 'Województwo kujawsko-pomorskie');
'CSE', 'CSE*', 'CSE...', 'Powiat sępoleński', 'Województwo kujawsko-pomorskie');
'CSW', 'CSW*', 'CSW...', 'Powiat świecki', 'Województwo kujawsko-pomorskie');
'CT', 'CT[0-9]*', 'CT...', 'Toruń', 'Województwo kujawsko-pomorskie');
'CTR', 'CTR*', 'CTR...', 'Powiat toruński', 'Województwo kujawsko-pomorskie');
'CTU', 'CTU*', 'CTU...', 'Powiat tucholski', 'Województwo kujawsko-pomorskie');
'CW', 'CW[0-9]*', 'CW...', 'Włocławek', 'Województwo kujawsko-pomorskie');
'CWA', 'CWA*', 'CWA...', 'Powiat wąbrzeski', 'Województwo kujawsko-pomorskie');
'CWL', 'CWL*', 'CWL...', 'Powiat włocławski', 'Województwo kujawsko-pomorskie');
'CZN', 'CZN*', 'CZN...', 'Powiat żniński', 'Województwo kujawsko-pomorskie');
'DB', 'DB[0-9]*', 'DB...', 'Powiat wałbrzyski', 'Województwo dolnośląskie');
'DBL', 'DBL*', 'DBL...', 'Powiat bolesławiecki', 'Województwo dolnośląskie');
'DDZ', 'DDZ*', 'DDZ...', 'Powiat dzierżoniowski', 'Województwo dolnośląskie');
'DGL', 'DGL*', 'DGL...', 'Powiat głogowski', 'Województwo dolnośląskie');
'DGR', 'DGR*', 'DGR...', 'Powiat górowski', 'Województwo dolnośląskie');
'DJ', 'DJ[0-9]*', 'DJ...', 'Jelenia Góra', 'Województwo dolnośląskie');
'DJA', 'DJA*', 'DJA...', 'Powiat jaworski', 'Województwo dolnośląskie');
'DJE', 'DJE*', 'DJE...', 'Powiat jeleniogórski', 'Województwo dolnośląskie');
'DKA', 'DKA*', 'DKA...', 'Powiat kamiennogórski', 'Województwo dolnośląskie');
'DKL', 'DKL*', 'DKL...', 'Powiat kłodzki', 'Województwo dolnośląskie');
'DL', 'DL[0-9]*', 'DL...', 'Legnica', 'Województwo dolnośląskie');
'DLB', 'DLB*', 'DLB...', 'Powiat lubański', 'Województwo dolnośląskie');
'DLE', 'DLE*', 'DLE...', 'Powiat legnicki', 'Województwo dolnośląskie');
'DLU', 'DLU*', 'DLU...', 'Powiat lubiński', 'Województwo dolnośląskie');
'DLW', 'DLW*', 'DLW...', 'Powiat lwówecki', 'Województwo dolnośląskie');
'DMI', 'DMI*', 'DMI...', 'Powiat milicki', 'Województwo dolnośląskie');
'DOA', 'DOA*', 'DOA...', 'Powiat oławski', 'Województwo dolnośląskie');
'DOL', 'DOL*', 'DOL...', 'Powiat oleśnicki', 'Województwo dolnośląskie');
'DPL', 'DPL*', 'DPL...', 'Powiat polkowicki', 'Województwo dolnośląskie');
'DSR', 'DSR*', 'DSR...', 'Powiat średzki', 'Województwo dolnośląskie');
'DST', 'DST*', 'DST...', 'Powiat strzeliński', 'Województwo dolnośląskie');
'DSW', 'DSW*', 'DSW...', 'Powiat świdnicki', 'Województwo dolnośląskie');
'DTR', 'DTR*', 'DTR...', 'Powiat trzebnicki', 'Województwo dolnośląskie');
'DW', 'DW[0-9]*', 'DW...', 'Wrocław', 'Województwo dolnośląskie');
'DWL', 'DWL*', 'DWL...', 'Powiat wołowski', 'Województwo dolnośląskie');
'DWR', 'DWR*', 'DWR...', 'Powiat wrocławski', 'Województwo dolnośląskie');
'DZA', 'DZA*', 'DZA...', 'Powiat ząbkowicki', 'Województwo dolnośląskie');
'DZG', 'DZG*', 'DZG...', 'Powiat zgorzelecki', 'Województwo dolnośląskie');
'DZL', 'DZL*', 'DZL...', 'Powiat złotoryjski', 'Województwo dolnośląskie');
'EBE', 'EBE*', 'EBE...', 'Powiat bełchatowski', 'Województwo łódzkie');
'EBR', 'EBR*', 'EBR...', 'Powiat brzeziński', 'Województwo łódzkie');
'EKU', 'EKU*', 'EKU...', 'Powiat kutnowski', 'Województwo łódzkie');
'EL', 'EL[0-9]*', 'EL...', 'Łódź', 'Województwo łódzkie');
'ELA', 'ELA*', 'ELA...', 'Powiat łaski', 'Województwo łódzkie');
'ELC', 'ELC*', 'ELC...', 'Powiat łowicki', 'Województwo łódzkie');
'ELE', 'ELE*', 'ELE...', 'Powiat łęczycki', 'Województwo łódzkie');
'ELW', 'ELW*', 'ELW...', 'Powiat łódzki wschodni', 'Województwo łódzkie');
'EOP', 'EOP*', 'EOP...', 'Powiat opoczyński', 'Województwo łódzkie');
'EP', 'EP[0-9]*', 'EP...', 'Piotrków Trybunalski', 'Województwo łódzkie');
'EPA', 'EPA*', 'EPA...', 'Powiat pabianicki', 'Województwo łódzkie');
'EPD', 'EPD*', 'EPD...', 'Powiat poddębicki', 'Województwo łódzkie');
'EPI', 'EPI*', 'EPI...', 'Powiat piotrkowski', 'Województwo łódzkie');
'EPJ', 'EPJ*', 'EPJ...', 'Powiat pajęczański', 'Województwo łódzkie');
'ERA', 'ERA*', 'ERA...', 'Powiat radomszczański', 'Województwo łódzkie');
'ERW', 'ERW*', 'ERW...', 'Powiat rawski', 'Województwo łódzkie');
'ES', 'ES[0-9]*', 'ES...', 'Skierniewice', 'Województwo łódzkie');
'ESI', 'ESI*', 'ESI...', 'Powiat sieradzki', 'Województwo łódzkie');
'ESK', 'ESK*', 'ESK...', 'Powiat skierniewicki', 'Województwo łódzkie');
'ETM', 'ETM*', 'ETM...', 'Powiat tomaszowski', 'Województwo łódzkie');
'EWE', 'EWE*', 'EWE...', 'Powiat wieruszowski', 'Województwo łódzkie');
'EWI', 'EWI*', 'EWI...', 'Powiat wieluński', 'Województwo łódzkie');
'EZD', 'EZD*', 'EZD...', 'Powiat zduńskowolski', 'Województwo łódzkie');
'EZG', 'EZG*', 'EZG...', 'Powiat zgierski', 'Województwo łódzkie');
'FG', 'FG[0-9]*', 'FG...', 'Gorzów Wielkopolski', 'Województwo lubuskie');
'FGW', 'FGW*', 'FGW...', 'Powiat gorzowski', 'Województwo lubuskie');
'FKR', 'FKR*', 'FKR...', 'Powiat krośnieński', 'Województwo lubuskie');
'FMI', 'FMI*', 'FMI...', 'Powiat międzyrzecki', 'Województwo lubuskie');
'FNW', 'FNW*', 'FNW...', 'Powiat nowosolski', 'Województwo lubuskie');
'FSD', 'FSD*', 'FSD...', 'Powiat strzelecko-drezdenecki', 'Województwo lubuskie');
'FSL', 'FSL*', 'FSL...', 'Powiat słubicki', 'Województwo lubuskie');
'FSU', 'FSU*', 'FSU...', 'Powiat sulęciński', 'Województwo lubuskie');
'FSW', 'FSW*', 'FSW...', 'Powiat świebodziński', 'Województwo lubuskie');
'FWS', 'FWS*', 'FWS...', 'Powiat wschowski', 'Województwo lubuskie');
'FZ', 'FZ[0-9]*', 'FZ...', 'Zielona Góra', 'Województwo lubuskie');
'FZA', 'FZA*', 'FZA...', 'Powiat żarski', 'Województwo lubuskie');
'FZG', 'FZG*', 'FZG...', 'Powiat żagański', 'Województwo lubuskie');
'FZI', 'FZI*', 'FZI...', 'Powiat zielonogórski', 'Województwo lubuskie');
'GA', 'GA[0-9]*', 'GA...', 'Gdynia', 'Województwo pomorskie');
'GBY', 'GBY*', 'GBY...', 'Powiat bytowski', 'Województwo pomorskie');
'GCH', 'GCH*', 'GCH...', 'Powiat chojnicki', 'Województwo pomorskie');
'GCZ', 'GCZ*', 'GCZ...', 'Powiat człuchowski', 'Województwo pomorskie');
'GD', 'GD[0-9]*', 'GD...', 'Gdańsk', 'Województwo pomorskie');
'GDA', 'GDA*', 'GDA...', 'Powiat gdański', 'Województwo pomorskie');
'GKA', 'GKA*', 'GKA...', 'Powiat kartuski', 'Województwo pomorskie');
'GKS', 'GKS*', 'GKS...', 'Powiat kościerski', 'Województwo pomorskie');
'GKW', 'GKW*', 'GKW...', 'Powiat kwidzyński', 'Województwo pomorskie');
'GLE', 'GLE*', 'GLE...', 'Powiat lęborski', 'Województwo pomorskie');
'GMB', 'GMB*', 'GMB...', 'Powiat malborski', 'Województwo pomorskie');
'GND', 'GND*', 'GND...', 'Powiat nowodworski', 'Województwo pomorskie');
'GPU', 'GPU*', 'GPU...', 'Powiat pucki', 'Województwo pomorskie');
'GS', 'GS[0-9]*', 'GS...', 'Słupsk', 'Województwo pomorskie');
'GSL', 'GSL*', 'GSL...', 'Powiat słupski', 'Województwo pomorskie');
'GSP', 'GSP*', 'GSP...', 'Sopot', 'Województwo pomorskie');
'GST', 'GST*', 'GST...', 'Powiat starogardzki', 'Województwo pomorskie');
'GSZ', 'GSZ*', 'GSZ...', 'Powiat sztumski', 'Województwo pomorskie');
'GTC', 'GTC*', 'GTC...', 'Powiat tczewski', 'Województwo pomorskie');
'GWE', 'GWE*', 'GWE...', 'Powiat wejherowski', 'Województwo pomorskie');
'KBC', 'KBC*', 'KBC...', 'Powiat bocheński', 'Województwo małopolskie');
'KBR', 'KBR*', 'KBR...', 'Powiat brzeski', 'Województwo małopolskie');
'KCH', 'KCH*', 'KCH...', 'Powiat chrzanowski', 'Województwo małopolskie');
'KDA', 'KDA*', 'KDA...', 'Powiat dąbrowski', 'Województwo małopolskie');
'KGR', 'KGR*', 'KGR...', 'Powiat gorlicki', 'Województwo małopolskie');
'KLI', 'KLI*', 'KLI...', 'Powiat limanowski', 'Województwo małopolskie');
'KMI', 'KMI*', 'KMI...', 'Powiat miechowski', 'Województwo małopolskie');
'KMY', 'KMY*', 'KMY...', 'Powiat myślenicki', 'Województwo małopolskie');
'KN', 'KN[0-9]*', 'KN...', 'Nowy Sącz', 'Województwo małopolskie');
'KNS', 'KNS*', 'KNS...', 'Powiat nowosądecki', 'Województwo małopolskie');
'KNT', 'KNT*', 'KNT...', 'Powiat nowotarski', 'Województwo małopolskie');
'KOL', 'KOL*', 'KOL...', 'Powiat olkuski', 'Województwo małopolskie');
'KOS', 'KOS*', 'KOS...', 'Powiat oświęcimski', 'Województwo małopolskie');
'KPR', 'KPR*', 'KPR...', 'Powiat proszowicki', 'Województwo małopolskie');
